differential,release_year,genre,type,weeks_on_billboard,peak_billboard_position,spotify_popularity,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,ave_age_at_top_500,years_between
-182,1955,Big Band/Jazz,Studio,14,2,48,1,Male,1915,1946,40,9
-241,1955,Rock n' Roll/Rhythm & Blues,Studio,64.27097902097903,201,50,1,Male,1928,1955,27,0
-277,1956,Rock n' Roll/Rhythm & Blues,Studio,100,1,58,1,Male,1935,1956,21,0
-195,1956,Big Band/Jazz,Studio,64.27097902097903,2,62,1,Male,1915,1946,41,10
-177,1957,Punk/Post-Punk/New Wave/Power Pop,Studio,5,13,64,1,Male,1932,1957,25,0
469,2016,Punk/Post-Punk/New Wave/Power Pop,Studio,87,1,73,1,Female,1981,2003,35,13
468,2006,Soul/Gospel/R&B,Studio,173,2,67,1,Female,1983,2003,23,3
-80,1957,Rock n' Roll/Rhythm & Blues,Studio,64.27097902097903,201,47,4,Male,7752,1957,19,0
433,1985,Punk/Post-Punk/New Wave/Power Pop,Studio,27,30,75,1,Female,1958,1978,27,7
-19,1959,Big Band/Jazz,Studio,64.27097902097903,201,52,1,Male,1926,1951,33,8
-130,1959,Big Band/Jazz,Studio,64.27097902097903,201,36,1,Male,1926,1957,33,2
420,2013,Punk/Post-Punk/New Wave/Power Pop,Studio,186,1,75,1,Female,1981,2003,32,10
-171,1959,Big Band/Jazz,Studio,64.27097902097903,201,34,1,Male,1930,1958,29,1
412,1997,Soul/Gospel/R&B,Studio,58,2,67,1,Female,1971,1997,26,0
408,1997,Hip-Hop/Rap,Studio,37,3,53,1,Female,1971,1997,26,0
-324,1959,Blues/Blues Rock,Compilation,64.27097902097903,201,53,1,Male,1910,1959,49,0
402,2012,Country/Folk/Country Rock/Folk Rock,Studio,185,1,62,1,Female,1989,2006,23,6
393,1999,Indie/Alternative Rock,Studio,20,13,64,1,Female,1977,1996,22,3
-238,1959,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,17,52,1,Male,1930,1949,29,10
390,1986,Soul/Gospel/R&B,Studio,106,1,54,1,Female,1966,1982,20,4
-75,1960,Soul/Gospel/R&B,Studio,64.27097902097903,201,75,1,Female,1938,1960,22,0
364,2011,Soul/Gospel/R&B,Studio,588,1,81,1,Female,1988,2008,23,3
-153,1960,Blues/Blues Rock,Live,64.27097902097903,201,26,1,Male,1913,1947,47,13
-145,1960,Big Band/Jazz,Studio,64.27097902097903,201,35,1,Male,1926,1951,34,9
347,1972,Soul/Gospel/R&B,Live,23,7,38,1,Female,1942,1961,30,11
343,2000,Soul/Gospel/R&B,Studio,25,11,66,1,Female,1971,1997,29,3
-347,1961,Blues/Blues Rock,Compilation,64.27097902097903,201,47,1,Male,1911,1937,50,24
312,1997,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,46,3,Female,5911,1995,26.66666667,2
305,2010,Electronic,Studio,1,142,52,1,Female,1979,1995,31,15
301,1984,Soul/Gospel/R&B,Studio,81,5,64,1,Female,1959,1984,25,0
