"","differential","release_year","genre","type","weeks_on_billboard","peak_billboard_position","spotify_popularity","artist_member_count","artist_gender","artist_birth_year_sum","debut_album_release_year","ave_age_at_top_500","years_between"
"1",-182,1955,"Big Band/Jazz","Studio",14,2,48,1,"Male",1915,1946,40,9
"2",-241,1955,"Rock n' Roll/Rhythm & Blues","Studio",64.270979020979,201,50,1,"Male",1928,1955,27,0
"3",-277,1956,"Rock n' Roll/Rhythm & Blues","Studio",100,1,58,1,"Male",1935,1956,21,0
"4",-195,1956,"Big Band/Jazz","Studio",64.270979020979,2,62,1,"Male",1915,1946,41,10
"5",-177,1957,"Punk/Post-Punk/New Wave/Power Pop","Studio",5,13,64,1,"Male",1932,1957,25,0
"6",469,2016,"Punk/Post-Punk/New Wave/Power Pop","Studio",87,1,73,1,"Female",1981,2003,35,13
"7",468,2006,"Soul/Gospel/R&B","Studio",173,2,67,1,"Female",1983,2003,23,3
"8",-80,1957,"Rock n' Roll/Rhythm & Blues","Studio",64.270979020979,201,47,4,"Male",7752,1957,19,0
"9",433,1985,"Punk/Post-Punk/New Wave/Power Pop","Studio",27,30,75,1,"Female",1958,1978,27,7
"10",-19,1959,"Big Band/Jazz","Studio",64.270979020979,201,52,1,"Male",1926,1951,33,8
"11",-130,1959,"Big Band/Jazz","Studio",64.270979020979,201,36,1,"Male",1926,1957,33,2
"12",420,2013,"Punk/Post-Punk/New Wave/Power Pop","Studio",186,1,75,1,"Female",1981,2003,32,10
"13",-171,1959,"Big Band/Jazz","Studio",64.270979020979,201,34,1,"Male",1930,1958,29,1
"14",412,1997,"Soul/Gospel/R&B","Studio",58,2,67,1,"Female",1971,1997,26,0
"15",408,1997,"Hip-Hop/Rap","Studio",37,3,53,1,"Female",1971,1997,26,0
"16",-324,1959,"Blues/Blues Rock","Compilation",64.270979020979,201,53,1,"Male",1910,1959,49,0
"17",402,2012,"Country/Folk/Country Rock/Folk Rock","Studio",185,1,62,1,"Female",1989,2006,23,6
"18",393,1999,"Indie/Alternative Rock","Studio",20,13,64,1,"Female",1977,1996,22,3
"19",-238,1959,"Punk/Post-Punk/New Wave/Power Pop","Studio",64.270979020979,17,52,1,"Male",1930,1949,29,10
"20",390,1986,"Soul/Gospel/R&B","Studio",106,1,54,1,"Female",1966,1982,20,4
"21",-75,1960,"Soul/Gospel/R&B","Studio",64.270979020979,201,75,1,"Female",1938,1960,22,0
"22",364,2011,"Soul/Gospel/R&B","Studio",588,1,81,1,"Female",1988,2008,23,3
"23",-153,1960,"Blues/Blues Rock","Live",64.270979020979,201,26,1,"Male",1913,1947,47,13
"24",-145,1960,"Big Band/Jazz","Studio",64.270979020979,201,35,1,"Male",1926,1951,34,9
"25",347,1972,"Soul/Gospel/R&B","Live",23,7,38,1,"Female",1942,1961,30,11
"26",343,2000,"Soul/Gospel/R&B","Studio",25,11,66,1,"Female",1971,1997,29,3
"27",-347,1961,"Blues/Blues Rock","Compilation",64.270979020979,201,47,1,"Male",1911,1937,50,24
"28",312,1997,"Punk/Post-Punk/New Wave/Power Pop","Studio",64.270979020979,201,46,3,"Female",5911,1995,26.66666667,2
"29",305,2010,"Electronic","Studio",1,142,52,1,"Female",1979,1995,31,15
"30",301,1984,"Soul/Gospel/R&B","Studio",81,5,64,1,"Female",1959,1984,25,0
"31",299,1997,"Punk/Post-Punk/New Wave/Power Pop","Studio",9,28,46,1,"Female",1965,1977,32,20
"32",289,1966,"Soul/Gospel/R&B","Studio",110,9,49,1,"Female",1933,1959,33,7
"33",288,2012,"Indie/Alternative Rock","Studio",16,3,52,1,"Female",1977,1996,35,16
"34",-23,1962,"Soul/Gospel/R&B","Studio",14,1,55,1,"Male",1930,1949,32,13
"35",277,1999,"Country/Folk/Country Rock/Folk Rock","Studio",131,1,65,3,"Female",5915,1990,27.33333333,9
"36",-41,1963,"Funk/Disco","Live",6,91,28,1,"Male",1933,1958,30,5
"37",271,2016,"Punk/Post-Punk/New Wave/Power Pop","Studio",392,1,51,1,"Female",1988,2005,28,11
"38",268,1992,"Punk/Post-Punk/New Wave/Power Pop","Studio",54,38,39,1,"Female",1963,1992,29,0
"39",254,1992,"Soul/Gospel/R&B","Studio",103,3,70,1,"Female",1959,1984,33,8
"40",-158,1963,"Country/Folk/Country Rock/Folk Rock","Studio",14,22,66,1,"Male",1941,1962,22,1
"41",-462,1963,"Punk/Post-Punk/New Wave/Power Pop","Studio",1,74,72,4,"Male",7765,1963,21.75,0
"42",-359,1963,"Soul/Gospel/R&B","Compilation",64.270979020979,201,61,1,"Male",1939,1959,24,4
"43",-81,1963,"Punk/Post-Punk/New Wave/Power Pop","Studio",74,1,68,4,"Male",7765,1963,21.75,0
"44",231,2018,"Country/Folk/Country Rock/Folk Rock","Studio",94,4,69,1,"Female",1988,2013,30,5
"45",230,1992,"Soul/Gospel/R&B","Studio",58,6,58,1,"Female",1971,1992,21,0
"46",224,2003,"Soul/Gospel/R&B","Studio",87,1,74,1,"Female",1981,2001,22,2
"47",218,1975,"Funk/Disco","Studio",49,1,60,1,"Female",1948,1974,27,1
"48",-67,1964,"Soul/Gospel/R&B","Studio",64.270979020979,201,62,3,"Female",5830,1964,20.66666667,0
"49",210,1999,"Punk/Post-Punk/New Wave/Power Pop","Studio",99,5,73,4,"Female",7924,1998,18,1
"50",201,1997,"Country/Folk/Country Rock/Folk Rock","Studio",151,2,70,1,"Female",1965,1993,32,4
"51",189,2016,"Soul/Gospel/R&B","Studio",23,1,60,1,"Female",1986,2002,30,14
"52",188,2000,"Indie/Alternative Rock","Studio",9,42,58,1,"Female",1969,1992,31,8
